Year,ROI
2012,13.01277279028108
2013,31.431912668851865
2014,20.588452657144373
2015,15.30431554176446
2016,13.530068208170675
2017,29.34329366269331
2018,18.56029404340523
2019,38.260951477532515
2020,75.57360734664489
2021,50.19323087783232
2022,39.94517119071704
